requirement_id,requirement_area,priority,source,acceptance_criterion_ids,test_ids,planned_evidence,status,notes
S2XYZ-REQ-CFG-001,Configuration,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#2-configuration-requirements,AC-001,T-CFG-001,"tests/test_config_fixture.py;runs/evidence/S2XYZ-CODEX-003/points_source_xyz_metadata.json",Verified,"Complete canonical configuration and exact condition IDs"
S2XYZ-REQ-CFG-002,Configuration,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#2-configuration-requirements,AC-001,T-CFG-002,"tests/test_config_fixture.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Run-fatal missing/conflicting safety metadata"
S2XYZ-REQ-CFG-003,Configuration,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#2-configuration-requirements,AC-013,T-SCOPE-001,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"No named-service preset URL or network input"
S2XYZ-REQ-SYN-001,Synthetic fixture,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#3-synthetic-fixture-requirements,AC-002,T-FIX-001,"tests/test_config_fixture.py;runs/evidence/S2XYZ-CODEX-003/ground_truth.csv;runs/evidence/S2XYZ-CODEX-003/fixture_manifest.json",Verified,"Exact 60-row 42/18 allocation"
S2XYZ-REQ-SYN-002,Synthetic fixture,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#3-synthetic-fixture-requirements,AC-002,T-FIX-002,"tests/test_config_fixture.py;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Ground-truth separation"
S2XYZ-REQ-SYN-003,Synthetic fixture,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#3-synthetic-fixture-requirements,AC-002,T-FIX-003,"tests/test_config_fixture.py;runs/evidence/S2XYZ-CODEX-003/ground_truth.csv;runs/evidence/S2XYZ-CODEX-003/fixture_manifest.json",Verified,"Labels signs variations and classes"
S2XYZ-REQ-SYN-004,Input boundary,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#3-synthetic-fixture-requirements,AC-002,T-INP-001,"tests/test_config_fixture.py;runs/evidence/S2XYZ-CODEX-003/fixture_manifest.json;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"PNG size dimension path and hash controls"
S2XYZ-REQ-INP-001,Image input,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#4-image-and-ocr-requirements,AC-013,T-SCOPE-002,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt;runs/reports/Screen2XYZ_Run_S2XYZ-CODEX-003_Report_2026-07-15.md",Verified,"Generated files only"
S2XYZ-REQ-INP-002,Live capture status,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#4-image-and-ocr-requirements,AC-010;AC-013,T-LIVE-001,"tests/test_guardrails_traceability_evidence.py;runs/reports/Screen2XYZ_Run_S2XYZ-CODEX-003_Report_2026-07-15.md",Verified,"Mandatory status field; execution optional"
S2XYZ-REQ-OCR-001,OCR,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#4-image-and-ocr-requirements,AC-003,T-OCR-001,"tests/test_ocr_parser.py;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv",Verified,"Actual pixel OCR with no fixture substitution"
S2XYZ-REQ-OCR-002,OCR evidence,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#4-image-and-ocr-requirements,AC-003,T-OCR-002,"tests/test_ocr_parser.py;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv",Verified,"Reversible raw text bounded status identity and timing"
